longitude,latitude,distance_from_green_street_m,green_percentage,crime_score,split,grid_row,grid_col,block_id
-88.2009827616183,40.10256650080158,1808.1233418784057,0.0,0.0,train,575,723,234
-88.23990587943482,40.11341194016901,350.09810832256426,2.25,2.2687356,train,455,391,187
-88.24432716552522,40.14115459160682,3439.641146013072,0.0,0.0,train,147,353,47
-88.21106117806706,40.106990644301995,818.3289600224967,14.249999999999998,0.26763418,train,526,637,212
-88.17748803800727,40.06786307270453,5943.429771138492,0.0,0.0,train,960,924,398
-88.2264297462542,40.10475428439155,637.5616779474125,37.25,8.119634,train,551,506,230
-88.19872154771188,40.11922545193184,2006.019079679757,1.25,0.0,train,390,742,154
-88.22677626628484,40.10817698078144,256.9449196200987,5.75,23.592356,train,513,503,210
-88.22777347122432,40.070081318603684,4483.752130650115,0.0,0.0,train,936,495,369
-88.24137181889087,40.070092910812974,4455.627142728982,0.0,0.0,train,936,379,367
-88.17986965935285,40.10353114048042,3462.1639093887734,0.75,0.0,train,564,903,238
-88.1930735410391,40.07040475714407,4998.61887151823,0.0,0.0,train,932,791,375
-88.28437712963509,40.09398574930713,4013.7537556617517,0.0,0.0,train,671,12,260
-88.22272279652823,40.14861111348136,4223.467926887527,0.0,0.0,train,64,537,30
-88.20033336899927,40.134898140163976,3148.12301479947,0.0,0.0,train,216,728,94
-88.19375450330962,40.13876306644402,3813.996914747429,7.75,0.0,train,173,784,75
-88.23438905474924,40.115929106728046,618.5951624778218,0.0,6.717211,train,427,438,168
-88.16943374038071,40.10252615534632,4355.015465457795,0.0,0.0,train,575,992,239
-88.20302123194966,40.07915248800409,3763.418238541381,0.0,0.0,train,835,706,334
-88.17746826237037,40.127934838902895,4059.535767212775,0.0,0.0,train,293,923,118
-88.25618860559715,40.13305751271834,2798.496024670341,0.0,0.0,train,237,252,85
-88.24689423776978,40.15268446364391,4731.705365448852,0.0,0.0,train,19,331,6
-88.27664609209572,40.08353493327412,4164.886742369911,1.5,5.649541,train,787,78,301
-88.24411225528287,40.126023986713314,1762.0204518214282,59.25,0.0,train,315,355,127
